elapsedTsTime:13971649 elapsedTjTime:12822390
elapsedTsTime:1976164 elapsedTjTime:1684793
elapsedTsTime:4913690 elapsedTjTime:4623762
elapsedTsTime:2894752 elapsedTjTime:1231528
elapsedTsTime:6165443 elapsedTjTime:5844010
elapsedTsTime:1543565 elapsedTjTime:1213785
elapsedTsTime:2704960 elapsedTjTime:2383512
elapsedTsTime:1249646 elapsedTjTime:1014851
elapsedTsTime:1435464 elapsedTjTime:1166932
elapsedTsTime:1130525 elapsedTjTime:967670
elapsedTsTime:2698403 elapsedTjTime:2477656
elapsedTsTime:1051583 elapsedTjTime:803618
elapsedTsTime:8644620 elapsedTjTime:971299
elapsedTsTime:7867197 elapsedTjTime:4199764
elapsedTsTime:1294550 elapsedTjTime:1061906
elapsedTsTime:3247752 elapsedTjTime:2912470
elapsedTsTime:9735306 elapsedTjTime:1639748
elapsedTsTime:1168069 elapsedTjTime:958430
elapsedTsTime:7061320 elapsedTjTime:2578541
elapsedTsTime:1525551 elapsedTjTime:1091031
elapsedTsTime:1065735 elapsedTjTime:887958
elapsedTsTime:1849272 elapsedTjTime:1576342
elapsedTsTime:1072140 elapsedTjTime:866865
elapsedTsTime:1121466 elapsedTjTime:938768
elapsedTsTime:1971453 elapsedTjTime:1641149
elapsedTsTime:1221433 elapsedTjTime:1051617
elapsedTsTime:1140297 elapsedTjTime:965754
elapsedTsTime:977181 elapsedTjTime:804324
elapsedTsTime:2243371 elapsedTjTime:2075656
elapsedTsTime:4797880 elapsedTjTime:1224959
elapsedTsTime:2089925 elapsedTjTime:1785709
elapsedTsTime:1111727 elapsedTjTime:927657
elapsedTsTime:1024050 elapsedTjTime:854437
elapsedTsTime:1036488 elapsedTjTime:841941
elapsedTsTime:1058268 elapsedTjTime:868138
elapsedTsTime:975896 elapsedTjTime:835691
elapsedTsTime:956823 elapsedTjTime:805328
elapsedTsTime:1032657 elapsedTjTime:866494
elapsedTsTime:840726 elapsedTjTime:685709
elapsedTsTime:949609 elapsedTjTime:750064
elapsedTsTime:2825246 elapsedTjTime:2604174
elapsedTsTime:954689 elapsedTjTime:780264
elapsedTsTime:964882 elapsedTjTime:826284
elapsedTsTime:1125814 elapsedTjTime:947997
elapsedTsTime:972618 elapsedTjTime:825846
elapsedTsTime:969868 elapsedTjTime:809826
elapsedTsTime:983256 elapsedTjTime:834608
elapsedTsTime:1370178 elapsedTjTime:1055973
elapsedTsTime:1019553 elapsedTjTime:808235
elapsedTsTime:977555 elapsedTjTime:822650
elapsedTsTime:1311860 elapsedTjTime:1077911
elapsedTsTime:1048974 elapsedTjTime:897814
elapsedTsTime:961335 elapsedTjTime:798640
elapsedTsTime:1453905 elapsedTjTime:1216532
elapsedTsTime:966608 elapsedTjTime:813301
elapsedTsTime:1107517 elapsedTjTime:923372
elapsedTsTime:984070 elapsedTjTime:802240
elapsedTsTime:898205 elapsedTjTime:738886
elapsedTsTime:966768 elapsedTjTime:811393
elapsedTsTime:867389 elapsedTjTime:729375
elapsedTsTime:1387351 elapsedTjTime:1145556
elapsedTsTime:1113067 elapsedTjTime:838702
elapsedTsTime:893786 elapsedTjTime:738627
elapsedTsTime:1538201 elapsedTjTime:1165971
elapsedTsTime:1131807 elapsedTjTime:953704
elapsedTsTime:1030977 elapsedTjTime:846227
elapsedTsTime:999480 elapsedTjTime:769666
elapsedTsTime:935560 elapsedTjTime:744609
elapsedTsTime:772348 elapsedTjTime:626275
elapsedTsTime:1261341 elapsedTjTime:929360
elapsedTsTime:1258223 elapsedTjTime:1044778
elapsedTsTime:4236145 elapsedTjTime:2276653
elapsedTsTime:1151627 elapsedTjTime:960612
elapsedTsTime:1087855 elapsedTjTime:830066
elapsedTsTime:3716136 elapsedTjTime:1821795
elapsedTsTime:955415 elapsedTjTime:784187
elapsedTsTime:873550 elapsedTjTime:702872
elapsedTsTime:1260833 elapsedTjTime:1109312
elapsedTsTime:1316533 elapsedTjTime:1064529
elapsedTsTime:1234476 elapsedTjTime:932845
