elapsedTsTime:77729430 elapsedTjTime:38436905
elapsedTsTime:77774074 elapsedTjTime:77559673
elapsedTsTime:173852586 elapsedTjTime:161875291
elapsedTsTime:173944448 elapsedTjTime:161992731
elapsedTsTime:174063545 elapsedTjTime:165784653
elapsedTsTime:174434158 elapsedTjTime:151077379
elapsedTsTime:18703592 elapsedTjTime:18451027
elapsedTsTime:20270368 elapsedTjTime:20088232
elapsedTsTime:1556406 elapsedTjTime:1320607
elapsedTsTime:3744522 elapsedTjTime:3559174
elapsedTsTime:3945643 elapsedTjTime:3803922
elapsedTsTime:5030167 elapsedTjTime:4468526
elapsedTsTime:1625932 elapsedTjTime:1141879
elapsedTsTime:1103103 elapsedTjTime:966147
elapsedTsTime:1316669 elapsedTjTime:1115868
elapsedTsTime:1639352 elapsedTjTime:1177584
elapsedTsTime:992325 elapsedTjTime:855248
elapsedTsTime:2173716 elapsedTjTime:1533557
elapsedTsTime:1437185 elapsedTjTime:1250706
elapsedTsTime:4270764 elapsedTjTime:4124724
elapsedTsTime:951634 elapsedTjTime:832860
elapsedTsTime:1066754 elapsedTjTime:958133
elapsedTsTime:13285306 elapsedTjTime:2710746
elapsedTsTime:14951322 elapsedTjTime:9346734
elapsedTsTime:1347103 elapsedTjTime:1140952
elapsedTsTime:2247294 elapsedTjTime:2109196
elapsedTsTime:4369074 elapsedTjTime:2632428
elapsedTsTime:1684637 elapsedTjTime:1482775
elapsedTsTime:1117453 elapsedTjTime:985172
elapsedTsTime:1112687 elapsedTjTime:961343
elapsedTsTime:1640636 elapsedTjTime:1530645
elapsedTsTime:2032415 elapsedTjTime:1923217
elapsedTsTime:1020671 elapsedTjTime:908236
elapsedTsTime:944867 elapsedTjTime:836144
elapsedTsTime:920726 elapsedTjTime:814143
elapsedTsTime:1057226 elapsedTjTime:920781
elapsedTsTime:984159 elapsedTjTime:867686
elapsedTsTime:1544073 elapsedTjTime:1324122
elapsedTsTime:1276329 elapsedTjTime:1115431
elapsedTsTime:1031151 elapsedTjTime:879122
elapsedTsTime:1030514 elapsedTjTime:895005
elapsedTsTime:2197038 elapsedTjTime:2070626
elapsedTsTime:1353179 elapsedTjTime:1239405
elapsedTsTime:1121976 elapsedTjTime:1011816
elapsedTsTime:1225248 elapsedTjTime:1092852
elapsedTsTime:1510758 elapsedTjTime:1360307
elapsedTsTime:999137 elapsedTjTime:843936
elapsedTsTime:3264533 elapsedTjTime:2138033
elapsedTsTime:944475 elapsedTjTime:827807
elapsedTsTime:1061672 elapsedTjTime:914521
elapsedTsTime:1053187 elapsedTjTime:942656
elapsedTsTime:851483 elapsedTjTime:721637
elapsedTsTime:983935 elapsedTjTime:875276
elapsedTsTime:5042527 elapsedTjTime:4939877
elapsedTsTime:909829 elapsedTjTime:809758
elapsedTsTime:1131686 elapsedTjTime:978235
elapsedTsTime:2294667 elapsedTjTime:2184233
elapsedTsTime:1446607 elapsedTjTime:1241317
elapsedTsTime:1152293 elapsedTjTime:1039083
elapsedTsTime:1283325 elapsedTjTime:1132197
elapsedTsTime:2223291 elapsedTjTime:2057539
elapsedTsTime:2798141 elapsedTjTime:2695668
elapsedTsTime:4740723 elapsedTjTime:4607968
elapsedTsTime:4209409 elapsedTjTime:3838167
elapsedTsTime:1215660 elapsedTjTime:1080381
elapsedTsTime:1418452 elapsedTjTime:1227855
elapsedTsTime:981547 elapsedTjTime:865605
elapsedTsTime:1510724 elapsedTjTime:1308605
elapsedTsTime:935080 elapsedTjTime:806312
elapsedTsTime:4462234 elapsedTjTime:4061492
elapsedTsTime:5077617 elapsedTjTime:4971976
elapsedTsTime:5215260 elapsedTjTime:5120013
elapsedTsTime:5731673 elapsedTjTime:5624003
elapsedTsTime:5508186 elapsedTjTime:2143766
elapsedTsTime:13412533 elapsedTjTime:2350389
elapsedTsTime:1112635 elapsedTjTime:994212
elapsedTsTime:957587 elapsedTjTime:853518
elapsedTsTime:1889837 elapsedTjTime:1703687
elapsedTsTime:2814778 elapsedTjTime:2467883
elapsedTsTime:1432196 elapsedTjTime:1120207
elapsedTsTime:1037245 elapsedTjTime:927143
elapsedTsTime:4120916 elapsedTjTime:4017854
elapsedTsTime:5432561 elapsedTjTime:5312244
elapsedTsTime:2970388 elapsedTjTime:2859352
elapsedTsTime:5015954 elapsedTjTime:4923431
elapsedTsTime:1038905 elapsedTjTime:915867
elapsedTsTime:1943431 elapsedTjTime:1830510
elapsedTsTime:1632741 elapsedTjTime:1451557
elapsedTsTime:3543791 elapsedTjTime:3408938
elapsedTsTime:1013467 elapsedTjTime:896749
elapsedTsTime:1003073 elapsedTjTime:865927
elapsedTsTime:2657739 elapsedTjTime:2550608
elapsedTsTime:2776563 elapsedTjTime:2674050
elapsedTsTime:5278402 elapsedTjTime:5149994
elapsedTsTime:3033829 elapsedTjTime:1533196
elapsedTsTime:886615 elapsedTjTime:750083
elapsedTsTime:1072480 elapsedTjTime:942883
elapsedTsTime:1249328 elapsedTjTime:1071899
elapsedTsTime:958117 elapsedTjTime:833720
elapsedTsTime:1143806 elapsedTjTime:987049
elapsedTsTime:878443 elapsedTjTime:756610
elapsedTsTime:2941865 elapsedTjTime:2805985
elapsedTsTime:5870181 elapsedTjTime:5739359
elapsedTsTime:5955026 elapsedTjTime:5860987
elapsedTsTime:5824004 elapsedTjTime:3802128
elapsedTsTime:802218 elapsedTjTime:650971
elapsedTsTime:1854579 elapsedTjTime:1740396
elapsedTsTime:1297458 elapsedTjTime:1103678
