elapsedTsTime:11503887 elapsedTjTime:10819472
elapsedTsTime:1590011 elapsedTjTime:1355782
elapsedTsTime:4950550 elapsedTjTime:4661517
elapsedTsTime:12210808 elapsedTjTime:9328052
elapsedTsTime:1388139 elapsedTjTime:1098346
elapsedTsTime:2673311 elapsedTjTime:2418584
elapsedTsTime:1241127 elapsedTjTime:1048770
elapsedTsTime:1358217 elapsedTjTime:1089260
elapsedTsTime:2114181 elapsedTjTime:1840558
elapsedTsTime:1403901 elapsedTjTime:1153525
elapsedTsTime:3089764 elapsedTjTime:1386424
elapsedTsTime:3596250 elapsedTjTime:3276985
elapsedTsTime:2804608 elapsedTjTime:2587615
elapsedTsTime:5092943 elapsedTjTime:1314598
elapsedTsTime:4676361 elapsedTjTime:4352347
elapsedTsTime:2332003 elapsedTjTime:1376795
elapsedTsTime:1443436 elapsedTjTime:1152712
elapsedTsTime:1259119 elapsedTjTime:1023540
elapsedTsTime:6708843 elapsedTjTime:6281249
elapsedTsTime:12105571 elapsedTjTime:2138004
elapsedTsTime:3425487 elapsedTjTime:3262859
elapsedTsTime:1528255 elapsedTjTime:1248622
elapsedTsTime:4259352 elapsedTjTime:2285112
elapsedTsTime:1217758 elapsedTjTime:951427
elapsedTsTime:4657906 elapsedTjTime:4464557
elapsedTsTime:3727034 elapsedTjTime:907744
elapsedTsTime:1520564 elapsedTjTime:1322854
elapsedTsTime:847367 elapsedTjTime:719924
elapsedTsTime:979274 elapsedTjTime:823469
elapsedTsTime:1302534 elapsedTjTime:1076067
elapsedTsTime:1402134 elapsedTjTime:1172118
elapsedTsTime:1516172 elapsedTjTime:1278498
elapsedTsTime:4306702 elapsedTjTime:4115333
elapsedTsTime:6120249 elapsedTjTime:5944363
elapsedTsTime:8372879 elapsedTjTime:8121001
elapsedTsTime:10685314 elapsedTjTime:10480628
elapsedTsTime:21097841 elapsedTjTime:20979655
elapsedTsTime:22753390 elapsedTjTime:22613800
elapsedTsTime:20312960 elapsedTjTime:19305346
elapsedTsTime:23422771 elapsedTjTime:23055831
elapsedTsTime:2386982 elapsedTjTime:2146042
elapsedTsTime:4087853 elapsedTjTime:3963070
elapsedTsTime:2547620 elapsedTjTime:2329506
elapsedTsTime:4905963 elapsedTjTime:4771417
elapsedTsTime:5510784 elapsedTjTime:5316158
elapsedTsTime:1018651 elapsedTjTime:860201
elapsedTsTime:1560330 elapsedTjTime:1039266
elapsedTsTime:1596876 elapsedTjTime:1409988
elapsedTsTime:2052705 elapsedTjTime:1927758
elapsedTsTime:6199407 elapsedTjTime:6020520
elapsedTsTime:1486658 elapsedTjTime:1253298
elapsedTsTime:915477 elapsedTjTime:788013
elapsedTsTime:1087006 elapsedTjTime:891039
elapsedTsTime:2585177 elapsedTjTime:2405722
elapsedTsTime:2773916 elapsedTjTime:2646448
elapsedTsTime:3824012 elapsedTjTime:3697784
elapsedTsTime:897171 elapsedTjTime:757388
elapsedTsTime:1416083 elapsedTjTime:1290427
elapsedTsTime:824657 elapsedTjTime:697853
elapsedTsTime:2852765 elapsedTjTime:2726199
elapsedTsTime:1960382 elapsedTjTime:1078562
