elapsedTsTime:45542305 elapsedTjTime:40583687
elapsedTsTime:57028560 elapsedTjTime:55259213
elapsedTsTime:57147549 elapsedTjTime:56713445
elapsedTsTime:27190473 elapsedTjTime:26742885
elapsedTsTime:57450624 elapsedTjTime:56235350
elapsedTsTime:7128002 elapsedTjTime:6984324
elapsedTsTime:12295564 elapsedTjTime:12162662
elapsedTsTime:2365931 elapsedTjTime:1904884
elapsedTsTime:40889343 elapsedTjTime:40757224
elapsedTsTime:39594299 elapsedTjTime:39471865
elapsedTsTime:40194705 elapsedTjTime:39753848
elapsedTsTime:40587466 elapsedTjTime:40475457
elapsedTsTime:9608293 elapsedTjTime:9478225
elapsedTsTime:995042 elapsedTjTime:866389
elapsedTsTime:1030205 elapsedTjTime:887034
elapsedTsTime:1494652 elapsedTjTime:1055743
elapsedTsTime:969437 elapsedTjTime:856634
elapsedTsTime:1262744 elapsedTjTime:864087
elapsedTsTime:1010791 elapsedTjTime:896945
elapsedTsTime:2713206 elapsedTjTime:2617088
elapsedTsTime:4381893 elapsedTjTime:3977483
elapsedTsTime:9875097 elapsedTjTime:4074572
elapsedTsTime:1074920 elapsedTjTime:904891
elapsedTsTime:1057858 elapsedTjTime:955710
elapsedTsTime:962595 elapsedTjTime:852415
elapsedTsTime:1783849 elapsedTjTime:1239200
elapsedTsTime:816736 elapsedTjTime:723044
elapsedTsTime:982472 elapsedTjTime:874209
elapsedTsTime:973942 elapsedTjTime:854202
elapsedTsTime:828304 elapsedTjTime:714037
elapsedTsTime:909654 elapsedTjTime:800068
elapsedTsTime:886231 elapsedTjTime:795208
elapsedTsTime:1098404 elapsedTjTime:999204
elapsedTsTime:1025638 elapsedTjTime:899588
elapsedTsTime:1155558 elapsedTjTime:1033289
elapsedTsTime:942647 elapsedTjTime:831243
elapsedTsTime:901557 elapsedTjTime:802225
elapsedTsTime:967340 elapsedTjTime:862867
elapsedTsTime:825029 elapsedTjTime:725174
elapsedTsTime:882742 elapsedTjTime:775269
elapsedTsTime:832368 elapsedTjTime:738246
elapsedTsTime:850827 elapsedTjTime:742273
elapsedTsTime:978556 elapsedTjTime:866799
elapsedTsTime:958737 elapsedTjTime:862791
elapsedTsTime:987034 elapsedTjTime:884274
elapsedTsTime:842030 elapsedTjTime:747659
elapsedTsTime:956851 elapsedTjTime:844804
elapsedTsTime:1327588 elapsedTjTime:1013303
elapsedTsTime:1007770 elapsedTjTime:875014
elapsedTsTime:855256 elapsedTjTime:765716
elapsedTsTime:979687 elapsedTjTime:875747
elapsedTsTime:907961 elapsedTjTime:801973
elapsedTsTime:769224 elapsedTjTime:674647
elapsedTsTime:963354 elapsedTjTime:861926
elapsedTsTime:1297587 elapsedTjTime:1098570
elapsedTsTime:943485 elapsedTjTime:847747
elapsedTsTime:924296 elapsedTjTime:816314
elapsedTsTime:878783 elapsedTjTime:769855
elapsedTsTime:1028267 elapsedTjTime:917539
elapsedTsTime:885324 elapsedTjTime:780460
elapsedTsTime:913380 elapsedTjTime:814909
elapsedTsTime:962845 elapsedTjTime:839849
elapsedTsTime:901881 elapsedTjTime:794263
elapsedTsTime:1407243 elapsedTjTime:1040904
elapsedTsTime:1079178 elapsedTjTime:970401
elapsedTsTime:985364 elapsedTjTime:864562
elapsedTsTime:863055 elapsedTjTime:759821
elapsedTsTime:1437449 elapsedTjTime:1278834
elapsedTsTime:782828 elapsedTjTime:676245
elapsedTsTime:1373803 elapsedTjTime:1021834
elapsedTsTime:1066206 elapsedTjTime:965036
elapsedTsTime:3521137 elapsedTjTime:2228383
elapsedTsTime:1428759 elapsedTjTime:1277205
elapsedTsTime:978078 elapsedTjTime:858815
elapsedTsTime:5645843 elapsedTjTime:2348323
elapsedTsTime:1005771 elapsedTjTime:871606
elapsedTsTime:924216 elapsedTjTime:824329
elapsedTsTime:1996981 elapsedTjTime:1833121
elapsedTsTime:1499687 elapsedTjTime:1080050
elapsedTsTime:1279485 elapsedTjTime:1050134
elapsedTsTime:924259 elapsedTjTime:813282
elapsedTsTime:1029917 elapsedTjTime:936704
elapsedTsTime:1048430 elapsedTjTime:940613
elapsedTsTime:1139194 elapsedTjTime:1006223
elapsedTsTime:1335393 elapsedTjTime:1162733
elapsedTsTime:1019866 elapsedTjTime:917157
elapsedTsTime:960058 elapsedTjTime:857327
elapsedTsTime:1335752 elapsedTjTime:1162950
elapsedTsTime:862890 elapsedTjTime:762248
elapsedTsTime:885684 elapsedTjTime:762632
elapsedTsTime:818826 elapsedTjTime:716710
elapsedTsTime:753716 elapsedTjTime:657122
elapsedTsTime:2388584 elapsedTjTime:2216084
elapsedTsTime:976455 elapsedTjTime:857342
elapsedTsTime:1392361 elapsedTjTime:1195521
elapsedTsTime:898938 elapsedTjTime:773271
elapsedTsTime:970396 elapsedTjTime:871610
elapsedTsTime:1347321 elapsedTjTime:1182671
elapsedTsTime:1868746 elapsedTjTime:1765021
elapsedTsTime:905007 elapsedTjTime:807649
elapsedTsTime:802282 elapsedTjTime:694211
elapsedTsTime:828157 elapsedTjTime:728587
elapsedTsTime:1400140 elapsedTjTime:1254529
elapsedTsTime:1152598 elapsedTjTime:980211
elapsedTsTime:3283999 elapsedTjTime:2406097
elapsedTsTime:926662 elapsedTjTime:793083
elapsedTsTime:762482 elapsedTjTime:667817
elapsedTsTime:1280323 elapsedTjTime:1114586
elapsedTsTime:1272893 elapsedTjTime:924384
elapsedTsTime:810923 elapsedTjTime:695595
elapsedTsTime:2359123 elapsedTjTime:2252906
elapsedTsTime:2788540 elapsedTjTime:2688964
elapsedTsTime:1176622 elapsedTjTime:1011270
elapsedTsTime:896172 elapsedTjTime:775781
elapsedTsTime:1267781 elapsedTjTime:1113255
elapsedTsTime:767798 elapsedTjTime:657288
elapsedTsTime:1727763 elapsedTjTime:1516553
elapsedTsTime:1293353 elapsedTjTime:1133882
elapsedTsTime:934244 elapsedTjTime:831274
elapsedTsTime:978205 elapsedTjTime:858913
elapsedTsTime:984951 elapsedTjTime:877161
elapsedTsTime:801427 elapsedTjTime:704964
elapsedTsTime:1240399 elapsedTjTime:1077714
elapsedTsTime:4904359 elapsedTjTime:3211955
elapsedTsTime:1654436 elapsedTjTime:1342784
elapsedTsTime:917497 elapsedTjTime:805890
elapsedTsTime:860869 elapsedTjTime:745699
