elapsedTsTime:1354124 elapsedTjTime:1093061
elapsedTsTime:1241109 elapsedTjTime:1033118
elapsedTsTime:1276434 elapsedTjTime:1028301
elapsedTsTime:2611970 elapsedTjTime:1104918
elapsedTsTime:1746461 elapsedTjTime:1526264
elapsedTsTime:3576607 elapsedTjTime:1222249
elapsedTsTime:3737162 elapsedTjTime:1354405
elapsedTsTime:1264190 elapsedTjTime:962718
elapsedTsTime:1408261 elapsedTjTime:1178314
elapsedTsTime:1256851 elapsedTjTime:1051069
elapsedTsTime:1520502 elapsedTjTime:1178182
elapsedTsTime:1548656 elapsedTjTime:1348865
elapsedTsTime:1638629 elapsedTjTime:1158133
elapsedTsTime:3505637 elapsedTjTime:831019
elapsedTsTime:5353052 elapsedTjTime:5139693
elapsedTsTime:5898164 elapsedTjTime:5704172
elapsedTsTime:2328644 elapsedTjTime:1449401
elapsedTsTime:6762402 elapsedTjTime:6633700
elapsedTsTime:7205537 elapsedTjTime:6808489
elapsedTsTime:3854984 elapsedTjTime:3648324
elapsedTsTime:14237847 elapsedTjTime:7755379
elapsedTsTime:3533455 elapsedTjTime:1712071
elapsedTsTime:1285904 elapsedTjTime:1127979
elapsedTsTime:2987075 elapsedTjTime:2824757
elapsedTsTime:1779674 elapsedTjTime:1336717
elapsedTsTime:1834693 elapsedTjTime:1583013
elapsedTsTime:1807998 elapsedTjTime:1670181
elapsedTsTime:3953737 elapsedTjTime:3822521
elapsedTsTime:874326 elapsedTjTime:744137
elapsedTsTime:4414592 elapsedTjTime:4280444
elapsedTsTime:1830688 elapsedTjTime:1228285
elapsedTsTime:2782243 elapsedTjTime:2634120
elapsedTsTime:1435737 elapsedTjTime:1329882
elapsedTsTime:984888 elapsedTjTime:830101
elapsedTsTime:956485 elapsedTjTime:783303
elapsedTsTime:988636 elapsedTjTime:860386
elapsedTsTime:1098525 elapsedTjTime:912326
elapsedTsTime:1431818 elapsedTjTime:1315075
elapsedTsTime:3248657 elapsedTjTime:3142818
elapsedTsTime:3659172 elapsedTjTime:3555419
elapsedTsTime:979859 elapsedTjTime:845625
elapsedTsTime:871888 elapsedTjTime:743127
elapsedTsTime:966422 elapsedTjTime:849631
elapsedTsTime:890572 elapsedTjTime:776067
elapsedTsTime:1450176 elapsedTjTime:1295155
elapsedTsTime:1079725 elapsedTjTime:910243
elapsedTsTime:911070 elapsedTjTime:792195
elapsedTsTime:2871126 elapsedTjTime:2753812
elapsedTsTime:2458535 elapsedTjTime:2085221
elapsedTsTime:2561108 elapsedTjTime:2441952
elapsedTsTime:1540507 elapsedTjTime:1298551
elapsedTsTime:1253544 elapsedTjTime:1053399
elapsedTsTime:878143 elapsedTjTime:726535
elapsedTsTime:1028301 elapsedTjTime:905597
elapsedTsTime:864669 elapsedTjTime:721500
elapsedTsTime:1424536 elapsedTjTime:1225241
elapsedTsTime:921835 elapsedTjTime:807867
elapsedTsTime:1899274 elapsedTjTime:1752047
elapsedTsTime:847211 elapsedTjTime:729150
elapsedTsTime:3010370 elapsedTjTime:2906392
elapsedTsTime:950591 elapsedTjTime:825323
elapsedTsTime:916179 elapsedTjTime:788913
elapsedTsTime:2077610 elapsedTjTime:1958530
elapsedTsTime:2622784 elapsedTjTime:1019611
elapsedTsTime:1090149 elapsedTjTime:936685
elapsedTsTime:1418751 elapsedTjTime:1225608
elapsedTsTime:1231060 elapsedTjTime:877383
elapsedTsTime:3034588 elapsedTjTime:2884012
elapsedTsTime:2376245 elapsedTjTime:2033825
elapsedTsTime:3553223 elapsedTjTime:3430534
elapsedTsTime:1299094 elapsedTjTime:1133902
elapsedTsTime:2962815 elapsedTjTime:2835141
elapsedTsTime:4481518 elapsedTjTime:3313659
elapsedTsTime:1089201 elapsedTjTime:947463
elapsedTsTime:5518147 elapsedTjTime:1940809
elapsedTsTime:1780727 elapsedTjTime:1540804
elapsedTsTime:917353 elapsedTjTime:762608
elapsedTsTime:3010461 elapsedTjTime:2671041
elapsedTsTime:3412762 elapsedTjTime:3299472
elapsedTsTime:2099918 elapsedTjTime:1881971
elapsedTsTime:1210656 elapsedTjTime:1033020
elapsedTsTime:2000451 elapsedTjTime:1852826
elapsedTsTime:2050736 elapsedTjTime:1885728
elapsedTsTime:966001 elapsedTjTime:836172
elapsedTsTime:791754 elapsedTjTime:669017
elapsedTsTime:1425508 elapsedTjTime:1202855
elapsedTsTime:1201978 elapsedTjTime:891672
elapsedTsTime:1800146 elapsedTjTime:1638468
elapsedTsTime:2206982 elapsedTjTime:2081142
elapsedTsTime:3716294 elapsedTjTime:3568061
elapsedTsTime:1201088 elapsedTjTime:1026566
elapsedTsTime:969637 elapsedTjTime:793300
elapsedTsTime:3520593 elapsedTjTime:3390179
elapsedTsTime:1402644 elapsedTjTime:1267088
elapsedTsTime:980316 elapsedTjTime:858750
elapsedTsTime:1137369 elapsedTjTime:961829
elapsedTsTime:1152869 elapsedTjTime:995107
elapsedTsTime:1062334 elapsedTjTime:876776
elapsedTsTime:3328818 elapsedTjTime:3199312
elapsedTsTime:3809623 elapsedTjTime:3633617
elapsedTsTime:985224 elapsedTjTime:839917
elapsedTsTime:1329270 elapsedTjTime:1149618
elapsedTsTime:3482993 elapsedTjTime:3300621
elapsedTsTime:7008606 elapsedTjTime:6883971
elapsedTsTime:3309127 elapsedTjTime:2102989
elapsedTsTime:899068 elapsedTjTime:760578
elapsedTsTime:732275 elapsedTjTime:606382
elapsedTsTime:853901 elapsedTjTime:731028
elapsedTsTime:1880486 elapsedTjTime:1560299
elapsedTsTime:2268543 elapsedTjTime:2161476
elapsedTsTime:1087956 elapsedTjTime:958710
elapsedTsTime:966812 elapsedTjTime:815866
elapsedTsTime:2326998 elapsedTjTime:2179587
elapsedTsTime:878004 elapsedTjTime:752696
elapsedTsTime:1895514 elapsedTjTime:1789116
elapsedTsTime:1269267 elapsedTjTime:1057650
elapsedTsTime:1193357 elapsedTjTime:953999
elapsedTsTime:938529 elapsedTjTime:787208
elapsedTsTime:977648 elapsedTjTime:849875
elapsedTsTime:1977064 elapsedTjTime:1875129
elapsedTsTime:970597 elapsedTjTime:848627
elapsedTsTime:1776112 elapsedTjTime:1648309
elapsedTsTime:2978806 elapsedTjTime:2849937
elapsedTsTime:1162002 elapsedTjTime:947649
elapsedTsTime:5399142 elapsedTjTime:3049686
elapsedTsTime:887703 elapsedTjTime:753630
elapsedTsTime:881879 elapsedTjTime:756951
elapsedTsTime:946215 elapsedTjTime:820453
elapsedTsTime:990067 elapsedTjTime:872594
elapsedTsTime:2343837 elapsedTjTime:2228750
elapsedTsTime:1357493 elapsedTjTime:1246022
elapsedTsTime:1014158 elapsedTjTime:869779
elapsedTsTime:801897 elapsedTjTime:675304
elapsedTsTime:868890 elapsedTjTime:735503
elapsedTsTime:1083973 elapsedTjTime:967403
elapsedTsTime:1096587 elapsedTjTime:807827
elapsedTsTime:858560 elapsedTjTime:720769
elapsedTsTime:1392599 elapsedTjTime:1277179
elapsedTsTime:1769879 elapsedTjTime:1667056
elapsedTsTime:1118264 elapsedTjTime:882503
elapsedTsTime:761972 elapsedTjTime:651738
elapsedTsTime:902707 elapsedTjTime:763609
elapsedTsTime:5824235 elapsedTjTime:5691740
elapsedTsTime:1026249 elapsedTjTime:886720
elapsedTsTime:862057 elapsedTjTime:726134
elapsedTsTime:769324 elapsedTjTime:649826
elapsedTsTime:1571222 elapsedTjTime:1443949
elapsedTsTime:1684650 elapsedTjTime:1570623
elapsedTsTime:2855630 elapsedTjTime:2755026
elapsedTsTime:3949851 elapsedTjTime:3838494
elapsedTsTime:960492 elapsedTjTime:823245
elapsedTsTime:877144 elapsedTjTime:742600
elapsedTsTime:2575370 elapsedTjTime:2034445
elapsedTsTime:771328 elapsedTjTime:641432
elapsedTsTime:1329474 elapsedTjTime:1023274
elapsedTsTime:2905204 elapsedTjTime:2673152
elapsedTsTime:4667878 elapsedTjTime:4541613
elapsedTsTime:3828096 elapsedTjTime:3727476
elapsedTsTime:3882614 elapsedTjTime:3788839
elapsedTsTime:4344089 elapsedTjTime:4243122
elapsedTsTime:1097209 elapsedTjTime:895498
elapsedTsTime:971181 elapsedTjTime:766764
elapsedTsTime:1092657 elapsedTjTime:871535
elapsedTsTime:866676 elapsedTjTime:713170
elapsedTsTime:1316285 elapsedTjTime:1112739
elapsedTsTime:774093 elapsedTjTime:660268
elapsedTsTime:987460 elapsedTjTime:827351
elapsedTsTime:2554325 elapsedTjTime:2385913
elapsedTsTime:883827 elapsedTjTime:742751
elapsedTsTime:1975746 elapsedTjTime:1854418
elapsedTsTime:2039326 elapsedTjTime:1916231
elapsedTsTime:1768429 elapsedTjTime:1348404
elapsedTsTime:854583 elapsedTjTime:694822
elapsedTsTime:1934605 elapsedTjTime:1804701
elapsedTsTime:1268736 elapsedTjTime:1073342
elapsedTsTime:834709 elapsedTjTime:709196
elapsedTsTime:2060884 elapsedTjTime:1900757
elapsedTsTime:829860 elapsedTjTime:698288
elapsedTsTime:4072367 elapsedTjTime:3973707
elapsedTsTime:4605407 elapsedTjTime:4442368
elapsedTsTime:855347 elapsedTjTime:736259
elapsedTsTime:1620313 elapsedTjTime:1424001
elapsedTsTime:811879 elapsedTjTime:691991
elapsedTsTime:970540 elapsedTjTime:826243
elapsedTsTime:1337098 elapsedTjTime:1144213
elapsedTsTime:804615 elapsedTjTime:693521
elapsedTsTime:1450154 elapsedTjTime:1202143
elapsedTsTime:981177 elapsedTjTime:833335
elapsedTsTime:2090433 elapsedTjTime:1834671
elapsedTsTime:2221348 elapsedTjTime:2118544
elapsedTsTime:1142428 elapsedTjTime:939181
elapsedTsTime:1361962 elapsedTjTime:1126315
elapsedTsTime:909976 elapsedTjTime:759647
elapsedTsTime:822562 elapsedTjTime:702607
elapsedTsTime:1215366 elapsedTjTime:934484
elapsedTsTime:2961677 elapsedTjTime:2737298
elapsedTsTime:1237964 elapsedTjTime:1019711
elapsedTsTime:1387665 elapsedTjTime:1068009
elapsedTsTime:836036 elapsedTjTime:715966
elapsedTsTime:1839027 elapsedTjTime:1723776
elapsedTsTime:733046 elapsedTjTime:618971
elapsedTsTime:1912250 elapsedTjTime:1089410
