elapsedTsTime:3708607 elapsedTjTime:959940
elapsedTsTime:1349927 elapsedTjTime:1071849
elapsedTsTime:1529567 elapsedTjTime:1187628
elapsedTsTime:1242114 elapsedTjTime:989098
elapsedTsTime:2071054 elapsedTjTime:1746229
elapsedTsTime:1208579 elapsedTjTime:951647
elapsedTsTime:1405247 elapsedTjTime:1153128
elapsedTsTime:1252458 elapsedTjTime:995544
elapsedTsTime:1312752 elapsedTjTime:1046584
elapsedTsTime:2398729 elapsedTjTime:2137536
elapsedTsTime:2007963 elapsedTjTime:1768073
elapsedTsTime:1337360 elapsedTjTime:1056042
elapsedTsTime:1325557 elapsedTjTime:1084166
elapsedTsTime:2916841 elapsedTjTime:638761
elapsedTsTime:1585792 elapsedTjTime:1175052
elapsedTsTime:1151872 elapsedTjTime:942268
elapsedTsTime:1175491 elapsedTjTime:944644
elapsedTsTime:3487637 elapsedTjTime:3171681
elapsedTsTime:5430514 elapsedTjTime:1731504
elapsedTsTime:1449185 elapsedTjTime:1143164
elapsedTsTime:1145923 elapsedTjTime:899495
elapsedTsTime:1114472 elapsedTjTime:891640
elapsedTsTime:1203027 elapsedTjTime:971338
elapsedTsTime:1021257 elapsedTjTime:808289
elapsedTsTime:1119893 elapsedTjTime:902003
elapsedTsTime:3984841 elapsedTjTime:3588491
elapsedTsTime:917207 elapsedTjTime:729593
elapsedTsTime:1271223 elapsedTjTime:1005188
elapsedTsTime:1195593 elapsedTjTime:957133
elapsedTsTime:930252 elapsedTjTime:774340
elapsedTsTime:1188230 elapsedTjTime:906414
elapsedTsTime:1138484 elapsedTjTime:894626
elapsedTsTime:1266114 elapsedTjTime:1024163
elapsedTsTime:1233750 elapsedTjTime:983993
elapsedTsTime:1209800 elapsedTjTime:981421
elapsedTsTime:1170094 elapsedTjTime:964734
elapsedTsTime:2787492 elapsedTjTime:2599274
elapsedTsTime:2113193 elapsedTjTime:1858384
elapsedTsTime:1142825 elapsedTjTime:879151
elapsedTsTime:1205658 elapsedTjTime:932808
elapsedTsTime:1131488 elapsedTjTime:910721
elapsedTsTime:1103171 elapsedTjTime:870261
elapsedTsTime:5542559 elapsedTjTime:5160894
elapsedTsTime:1194323 elapsedTjTime:960865
elapsedTsTime:1129461 elapsedTjTime:891102
elapsedTsTime:1636303 elapsedTjTime:1436435
elapsedTsTime:3118842 elapsedTjTime:2952255
elapsedTsTime:1773468 elapsedTjTime:1447750
elapsedTsTime:1213793 elapsedTjTime:957189
elapsedTsTime:1013439 elapsedTjTime:793435
elapsedTsTime:1123538 elapsedTjTime:918708
elapsedTsTime:1292088 elapsedTjTime:1019357
elapsedTsTime:1127219 elapsedTjTime:883436
elapsedTsTime:1300669 elapsedTjTime:1051198
elapsedTsTime:1075154 elapsedTjTime:867437
elapsedTsTime:1225288 elapsedTjTime:946901
