elapsedTsTime:1976014 elapsedTjTime:1563914
elapsedTsTime:1292941 elapsedTjTime:985579
elapsedTsTime:1071979 elapsedTjTime:835647
elapsedTsTime:1190821 elapsedTjTime:874080
elapsedTsTime:2949014 elapsedTjTime:2658220
elapsedTsTime:1065461 elapsedTjTime:827249
elapsedTsTime:1064949 elapsedTjTime:884568
elapsedTsTime:912307 elapsedTjTime:733111
elapsedTsTime:1889032 elapsedTjTime:1588902
elapsedTsTime:879208 elapsedTjTime:705302
elapsedTsTime:1598324 elapsedTjTime:1351361
elapsedTsTime:2449222 elapsedTjTime:2218918
elapsedTsTime:1141691 elapsedTjTime:878072
elapsedTsTime:758489 elapsedTjTime:595890
elapsedTsTime:889767 elapsedTjTime:708777
elapsedTsTime:836496 elapsedTjTime:650910
elapsedTsTime:1229525 elapsedTjTime:957833
elapsedTsTime:1059378 elapsedTjTime:829920
elapsedTsTime:5113833 elapsedTjTime:4508980
elapsedTsTime:1779908 elapsedTjTime:1464463
elapsedTsTime:4782139 elapsedTjTime:4558706
elapsedTsTime:1344778 elapsedTjTime:1073996
elapsedTsTime:1219589 elapsedTjTime:951577
elapsedTsTime:757488 elapsedTjTime:592898
elapsedTsTime:769830 elapsedTjTime:601048
elapsedTsTime:3633190 elapsedTjTime:1335550
elapsedTsTime:1067311 elapsedTjTime:881921
elapsedTsTime:689436 elapsedTjTime:540244
elapsedTsTime:850341 elapsedTjTime:653113
elapsedTsTime:1088737 elapsedTjTime:814266
elapsedTsTime:866167 elapsedTjTime:723722
elapsedTsTime:780548 elapsedTjTime:637112
elapsedTsTime:716881 elapsedTjTime:577451
elapsedTsTime:1045847 elapsedTjTime:842236
elapsedTsTime:785901 elapsedTjTime:611975
elapsedTsTime:979675 elapsedTjTime:748135
elapsedTsTime:1068057 elapsedTjTime:828289
elapsedTsTime:823424 elapsedTjTime:679526
elapsedTsTime:2996320 elapsedTjTime:2844685
elapsedTsTime:957161 elapsedTjTime:703210
elapsedTsTime:749667 elapsedTjTime:617320
elapsedTsTime:1810826 elapsedTjTime:1686658
elapsedTsTime:819319 elapsedTjTime:673929
elapsedTsTime:1206969 elapsedTjTime:989927
