elapsedTsTime:4563506 elapsedTjTime:4335864
elapsedTsTime:1314281 elapsedTjTime:1108671
elapsedTsTime:1398494 elapsedTjTime:1173794
elapsedTsTime:1002921 elapsedTjTime:812218
elapsedTsTime:1555545 elapsedTjTime:1352075
elapsedTsTime:1232219 elapsedTjTime:1028283
elapsedTsTime:1261373 elapsedTjTime:1026761
elapsedTsTime:1326967 elapsedTjTime:1092523
elapsedTsTime:6792333 elapsedTjTime:6586876
elapsedTsTime:1380887 elapsedTjTime:1174419
elapsedTsTime:1251780 elapsedTjTime:1055865
elapsedTsTime:1106991 elapsedTjTime:891757
elapsedTsTime:1398862 elapsedTjTime:1143571
elapsedTsTime:1219584 elapsedTjTime:1018816
elapsedTsTime:1496781 elapsedTjTime:1227209
elapsedTsTime:1100487 elapsedTjTime:901004
elapsedTsTime:1181454 elapsedTjTime:984976
elapsedTsTime:1427560 elapsedTjTime:1167396
elapsedTsTime:1259569 elapsedTjTime:1071484
elapsedTsTime:2591463 elapsedTjTime:2148832
elapsedTsTime:1293336 elapsedTjTime:1061721
elapsedTsTime:1015374 elapsedTjTime:836795
elapsedTsTime:1098106 elapsedTjTime:914805
elapsedTsTime:1212739 elapsedTjTime:1032065
elapsedTsTime:1034339 elapsedTjTime:832030
elapsedTsTime:1385698 elapsedTjTime:1157865
elapsedTsTime:1204908 elapsedTjTime:983109
elapsedTsTime:966222 elapsedTjTime:781223
elapsedTsTime:1289692 elapsedTjTime:1028814
elapsedTsTime:946335 elapsedTjTime:762941
elapsedTsTime:1095434 elapsedTjTime:863643
elapsedTsTime:1122690 elapsedTjTime:898911
elapsedTsTime:1382893 elapsedTjTime:1162762
elapsedTsTime:1190066 elapsedTjTime:965747
elapsedTsTime:1360494 elapsedTjTime:1105054
elapsedTsTime:1246367 elapsedTjTime:1005296
elapsedTsTime:1256863 elapsedTjTime:1008787
elapsedTsTime:1290162 elapsedTjTime:1056887
elapsedTsTime:1183124 elapsedTjTime:957151
elapsedTsTime:1763272 elapsedTjTime:1004932
elapsedTsTime:1156638 elapsedTjTime:960976
elapsedTsTime:1161064 elapsedTjTime:956643
elapsedTsTime:1260275 elapsedTjTime:1054991
elapsedTsTime:1284400 elapsedTjTime:1084158
elapsedTsTime:1276598 elapsedTjTime:1029818
elapsedTsTime:1135938 elapsedTjTime:951380
elapsedTsTime:1184450 elapsedTjTime:992157
elapsedTsTime:1803580 elapsedTjTime:1211963
elapsedTsTime:1180995 elapsedTjTime:996475
